"value","lang","property","count","alternative_label","alternative_lang"
D.J.MST,de,hasSubject,4,,
D.J.REK,de,hasSubject,4,,
D.J.SRA,de,hasSubject,4,,
D.J.SVA,de,hasSubject,4,,
D.J.VFB,de,hasSubject,4,,
D.K.AGS,de,hasSubject,4,,
D.K.PAW,de,hasSubject,4,,
D.S.FOT,de,hasSubject,4,,
D.S.PGH,de,hasSubject,4,,
Durchschlag mit handschriftlicher Mitteilung,de,hasSubject,4,,
E.F.GBU,de,hasSubject,4,,
Eingabe,de,hasSubject,4,,
Exekutionsbewilligung,de,hasSubject,4,,
Fortbildung,de,hasSubject,4,,
function,,hasSubject,4,,
Gedächtnisprotokoll,de,hasSubject,4,,
Geldbuße,de,hasSubject,4,,
Gutachten,de,hasSubject,4,,
Imperial Free City,en,hasSubject,4,,
Information,de,hasSubject,4,,
K.P.NAT,de,hasSubject,4,,
Manuskript mit handschriftlichen Annotationen,de,hasSubject,4,,
Margraviate,en,hasSubject,4,,
Mining Captaincy,en,hasSubject,4,,
Nationalsozialismus,de,hasSubject,4,,
Neolithic Greece and Anatolia,en,hasSubject,4,,
None,en,hasSubject,4,,
Phonogrammarchiv,de,hasSubject,4,,
Politische Verhältnisse,de,hasSubject,4,,
Postanweisung,de,hasSubject,4,,
Programmheft,de,hasSubject,4,,
Quarter,en,hasSubject,4,,
Rekurs,de,hasSubject,4,,
Selbstbestimmungsrecht,de,hasSubject,4,,
shape,,hasSubject,4,,
Staatsvertrag (St. Germain),de,hasSubject,4,,
Strafregisterauszug,de,hasSubject,4,,
Strafverfahrensakt,de,hasSubject,4,,
T.F.VBR,de,hasSubject,4,,
T.F.VVL,de,hasSubject,4,,
Typoskript mit handschriftlicher Mitteilung,de,hasSubject,4,,
Typoskript mit sonstigen Schreibspuren,de,hasSubject,4,,
Verfügungsbogen,de,hasSubject,4,,
Vertragsbruch,de,hasSubject,4,,
Vertragsverletzung,de,hasSubject,4,,
Vikariat,en,hasSubject,4,,
Abfertigung,de,hasSubject,3,,
Abschrift (lit.),de,hasSubject,3,,
Abweisung,de,hasSubject,3,,
Autonomie,de,hasSubject,3,,
Beamtenrat,de,hasSubject,3,,
Beweisabschluss,de,hasSubject,3,,
Bürgerkrieg,de,hasSubject,3,,
Christlich-sozial,de,hasSubject,3,,
Constituent Entity,en,hasSubject,3,,
Country,en,hasSubject,3,,
C.P.VER,de,hasSubject,3,,
Disziplinarausschuss,de,hasSubject,3,,
