"value","lang","count"
E.F.SCH,de,1
E.F.SUE,de,1
E.F.VAU,de,1
E.F.VSE,de,1
E.F.ZRW,de,1
Ehrenkränkung,de,1
Einigung,de,1
Electorate,en,1
Erklärung (Ausgang),de,1
European Concert of Powers,en,1
Fachprüfung,de,1
französische Regierung,de,1
Fundfotos,"",1
Fundzeichnungen,"",1
Gefährliche Drohung,de,1
Genfer Protokolle,de,1
Gesteinsproben,"",1
Glacis,en,1
GPR,"",1
Grabungstagebuch,"",1
Graf Leo Thun-Hohenstein,de,1
Graf Leo Thun-Hohenstein ,de,1
Grand Principality,en,1
Great Powers,en,1
Gremium,de,1
Großdeutsche Volkspartei,de,1
Hans Liebstöckl,de,1
High Commissariat,en,1
History of diplomacy,en,1
Honorar,de,1
Imre Békessy,de,1
Indiskretion,de,1
inscription,en,1
Inscriptions,"",1
journalistic prose,en,1
Karten,"",1
Klage wegen Forderung,de,1
Koalitionsrecht,de,1
Kongressakten,de,1
Kongress von Aachen,de,1
Kongress von Laibach,de,1
Kongress von Troppau,de,1
Kongress von Verona,de,1
Konterrevolution,de,1
Kronos-Verlag,de,1
Landgraviate,en,1
language choice,en,1
language contact,en,1
language mapping,en,1
language variation,en,1
Laufbahn,de,1
Laufbahn (Folgen),de,1
lexical resources,en,1
linguistic landscape,en,1
Lothar Rübelt,de,1
Mächtekongress,de,1
Mächtekonzert,de,1
Magnetik,"",1
manual,en,1
Marken-/Namensrechtsverletzung,de,1
mark-up,en,1
mark-up conventions,en,1
military frontier,en,1
Military Government,en,1
Monarchenkongresse,de,1
Mörtelproben,"",1
Nachrede,de,1
Neolithic pottery,en,1
Neolithic sites,en,1
open data,en,1
Opferbereitschaft,de,1
Oskar Samek,de,1
Österreich 1849-1860,de,1
Paul Amadeus Pisk,de,1
Pauperisierung,de,1
PeriodO,"",1
Persönlichkeitsrechtsverletzung,de,1
Plagiat,de,1
Politische Maßregelung,de,1
post-colonial,en,1
Profilzeichnungen,"",1
Qualifikationsbeschwerde,de,1
Richard Lányi,de,1
Richard Smetana,de,1
Rückzahlung,de,1
Rufschädigung,de,1
Schadensersatz,de,1
Scheitern der Exekution,de,1
schema,en,1
Schloss,en,1
Schweiz,de,1
search manual,en,1
Selbstverwaltung,de,1
S.F.BEK,de,1
S.F.BPD,de,1
S.F.KER,de,1
S.F.KRO,de,1
S.F.LIE,de,1
S.F.PAD,de,1
S.F.PIS,de,1
S.F.RIC,de,1
S.F.RUE,de,1
S.F.SAM,de,1
S.F.SME,de,1
site and monument,en,1
spelling,en,1
spelling conventions,en,1
Staatsbediensteten-Kommission,de,1
Stefan Padajaunig,de,1
Sühne,de,1
tag set,en,1
TEI,en,1
TEI-schema,en,1
T.F.AUS,de,1
T.F.BEL,de,1
T.F.DRO,de,1
T.F.EHK,de,1
T.F.EUV,de,1
T.F.GDR,de,1
T.F.IND,de,1
T.F.KWF,de,1
T.F.MNR,de,1
T.F.NAC,de,1
T.F.PER,de,1
T.F.REB,de,1
T.F.RUF,de,1
T.F.UNA,de,1
T.F.UNB,de,1
T.F.UPL,de,1
T.F.VER,de,1
thesaurus,"",1
TLS,"",1
transcription,en,1
Transkribus,de,1
