value,value_correct,lang,lang_correct,lang_correct_comments,property,count,id,singular_form,main_part,qualifier,main_label,variants,swap_order,2022-07-15: Nichtbeachtung weil,2022-07-15: Anmerkung,2022-07-15: Klassifizierung,2022-07-15: Comments by Seta,2022-09-15: Category,2022-09-15: Action,2022-09-15: Note DS,2022-09-23: Nichtbeachtung weil,2022-09-23: Anmerkung,2022-09-23 hasSubject_ARCHAEOLOGY: include?,2022-09-23 hasSubject_ARCHAEOLOGY: notes,2022-09-29: ARCHEgroup,2022-09-29: inARCHEmappedAs,2022-09-29: skos:match,2022-09-29: Vocabulary,2022-09-29: Notes,2022-09-29_xlsx: ARCHEgroup,2022-09-29_xlsx: skos:match,2022-09-29_xlsx: Vocabulary,2022-09-29_xlsx: Notes
Computational Notebook,,en,,,hasCategory,0,139816,,,,,,,,,,,,,,,,,,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/interactiveResource/computationalNotebook,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/interactiveResource/computationalNotebook,
Computational Notebook,,de,,,hasCategory,0,139816,,,,,,,,,,,,,,,,,,,,,,,,,,
Concert of Europe,,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condominium,condominium,en,,,hasSubject,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
conduits (water distribution structures),,en,,,hasSubject,7,,conduit (water distribution structure),conduits,water distribution structures,,,,,,,,,,,,,archaeology,P4D,,,,,,,,,
Confederation,confederation,en,,,hasSubject,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congress files,congress files,en,,,hasSubject,1,,congress file,,,,,,,,,,,,,,,,,,,,,,,,,
Congress of Aix-la-chapelle,Congress of Aix-la-Chapelle,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congress of Laibach,,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congress of Troppau,,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congress of Verona,,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congress of Vienna,,en,,,hasSubject,1,,,,,,,,,"Ähnlichkeit mit ""Wiener Kongress""",,,,,,,"Ähnlichkeit mit ""Wiener Kongress""",,,,,,,,,,,
Congress System,congress system,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constituent Entity,constituent entity,en,,,hasSubject,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controlled Vocabulary,,en,,,hasCategory,2,220409,,,,,,,,,,,,,,,,,,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/model/controlledVocabulary,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/model/controlledVocabulary,
controlled vocabulary,,,en,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation,,en,,,hasSubject,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpus,,en,,,hasCategory,4,139812,,,,,,,,,,,,,,,,,,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/corpus,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/corpus,
Country,country,en,,,hasSubject,3,,,,,,,,,,historische Verwaltungseinheit,,,,,,,,,,,,,,historische Verwaltungseinheit,,,
County,county,en,,,hasSubject,177,,,,,,,,,,historische Verwaltungseinheit,,,,too detailed,,,,,,,,,,historische Verwaltungseinheit,,,
County (administrative unit),county (administrative unit),en,,,hasSubject,71,,,county,administrative unit,,,,,"Ähnlichkeit mit ""County""",,,,Exclude from Vocabulary,,,"Ähnlichkeit mit ""County""",,,,,,,,historische Verwaltungseinheit,,,
Crown Colony,Crown colony,en,,,hasSubject,5,,,,,,,,,,historische Verwaltungseinheit,,,,,,,,,,,,,,historische Verwaltungseinheit,,,
Crownland,Crown land,en,,,hasSubject,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-scans,CT scans,,en,,hasAppliedMethod,3,,CT scan,,,,,,,,,,,,,,,,,,,,,,,,,
CT-scans,CT scans,en,,,hasAppliedMethod,1,,CT scan,,,,,,,,,,,,,,,,,,,,,,,,,
D.J,,de,,,hasSubject,3,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ABH,,de,,,hasSubject,10,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ABL,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ABR,,de,,,hasSubject,7,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AFD,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AFS,,de,,,hasSubject,8,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AKN,,de,,,hasSubject,8,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AKS,,de,,,hasSubject,17,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AKT,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AKU,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
