value,lang,property,count,id,delete,separate,remove_trailing_space
Free City,en,hasSubject,6,,,,
Freispruch,de,hasSubject,14,,,,
Friedensverhandlungen,de,hasSubject,10,,,,
Friedhof,de,hasSubject,7,,,,
Friedrich Austerlitz,de,hasSubject,2,,,,
function,,hasSubject,4,,,,
Fundbearbeitung,,hasSubject,2,,,,
Fundfotos,,hasSubject,1,,,,
Fundzeichnungen,,hasSubject,1,,,,
garden,en,hasSubject,7,,,,
Garten,de,hasSubject,7,,,,
Gedächtnisprotokoll,de,hasSubject,4,,,,
Gedicht,de,hasSubject,2,,,,
Gefährliche Drohung,de,hasSubject,1,,,,
Geist (moderner),de,hasSubject,3,,,,
Geldbuße,de,hasSubject,4,,,,
Geldstrafe,de,hasSubject,2,,,,
Gemeindewahlrecht,de,hasSubject,9,,,,
Genfer Protokolle,de,hasSubject,1,,,,
GeoJSON Dataset,en,hasCategory,2530,105587,,,
GeoJSON-Datenset,de,hasCategory,2530,105587,,,
geological survey,en,hasAppliedMethod,1,,,,
Geomagnetik,,hasAppliedMethod,1,,,,
geomorphological survey,en,hasAppliedMethod,1,,,,
Geophysik,,hasAppliedMethod,1,,,,
Georadar,,hasAppliedMethod,1,,,,
Georeferenced Image,en,hasCategory,0,139815,,,
Georeferenziertes Bild,de,hasCategory,0,139815,,,
Gericht,en,hasSubject,29,,,,
Gesandtenkonferenz,de,hasSubject,6,,,,
Geschichte,de,hasSubject,2940,,,,
Geschichte des Lesens,de,hasSubject,126,,,,
Gesteinsproben,,hasSubject,1,,,,
Gewerkschaft,de,hasSubject,17,,,,
GIS,en,hasSubject,2649,,,,
Glacis,en,hasSubject,1,,,,
Governmental District,en,hasSubject,62,,,,
GPR,,hasSubject,1,,,,
Grab,de,hasSubject,7,,,,
Grabungsdaten,de,hasSubject,1,,,,
Grabungstagebuch,,hasSubject,1,,,,
Graf Leo Thun-Hohenstein,de,hasSubject,1,,,,
Graf Leo Thun-Hohenstein ,de,hasSubject,1,,,,yes
Grammar,en,hasCategory,0,139818,,,
Grammatik,de,hasCategory,0,139818,,,
Grand Duchy,en,hasSubject,12,,,,
Grand Principality,en,hasSubject,1,,,,
grave,en,hasSubject,9,,,,
Great Powers,en,hasSubject,1,,,,
Gremium,de,hasSubject,1,,,,
Griechenland,de,hasSubject,13,,,,
Großdeutsche Volkspartei,de,hasSubject,1,,,,
group designations,en,hasSubject,2,,,,
Grundbuch,de,hasSubject,2940,,,,
Gutachten,de,hasSubject,4,,,,
Gutschrift,de,hasSubject,6,,,,
Hans Liebstöckl,de,hasSubject,1,,,,
Haus,de,hasSubject,7,,,,
High Commissariat,en,hasSubject,1,,,,
High-Bailiwick,en,hasSubject,14,,,,
historic administrative units,en,hasSubject,2650,,,,
Historical Network Research,en,hasSubject,2,,,,
