hasSubject;Häufigkeit;Nichtbeachtung weil;Aufnahme weil;Anmerkung
professional research/science working group discussion;5;;;
Provincial Government;5;;;
Systemisierung;5;;;
tschechoslowakische Regierung;5;;;
Unstreitige Zivilrechtssache;5;;;
Vergeltung;5;;;
Zensur;5;;;
Ablehnung;4;;;
Anklage-Kundmachung;4;;;
Anzeige;4;;;
Arbeiterrätin;4;;;
Aufgabeschein;4;;;
Bekanntgabe;4;;;
Berichtigung;4;;;
Bundesverfassung;4;;;
capacity;4;;;
Commissary District;4;;;
Condominium;4;;;
D.J.ABL;4;zu speziell/nicht wiederverwendbar;;
D.J.AKU;4;zu speziell/nicht wiederverwendbar;;
D.J.ANZ;4;zu speziell/nicht wiederverwendbar;;
D.J.BEK;4;zu speziell/nicht wiederverwendbar;;
D.J.EGE;4;zu speziell/nicht wiederverwendbar;;
D.J.EXB;4;zu speziell/nicht wiederverwendbar;;
D.J.GPK;4;zu speziell/nicht wiederverwendbar;;
D.J.GUT;4;zu speziell/nicht wiederverwendbar;;
D.J.INF;4;zu speziell/nicht wiederverwendbar;;
D.J.MEM;4;zu speziell/nicht wiederverwendbar;;
D.J.MST;4;zu speziell/nicht wiederverwendbar;;
D.J.REK;4;zu speziell/nicht wiederverwendbar;;
D.J.SRA;4;zu speziell/nicht wiederverwendbar;;
D.J.SVA;4;zu speziell/nicht wiederverwendbar;;
D.J.VFB;4;zu speziell/nicht wiederverwendbar;;
D.K.AGS;4;zu speziell/nicht wiederverwendbar;;
D.K.PAW;4;zu speziell/nicht wiederverwendbar;;
D.S.FOT;4;zu speziell/nicht wiederverwendbar;;
D.S.PGH;4;zu speziell/nicht wiederverwendbar;;
District;4;;;
Durchschlag mit handschriftlicher Mitteilung;4;;;"Ähnlichkeit mit ""Durchschlag mit handschriftlichen Überarbeitungen"""
E.F.GBU;4;zu speziell/nicht wiederverwendbar;;
Eingabe;4;;;
Exekutionsbewilligung;4;;;
Fortbildung;4;;;
Fotografie (Mat.);4;;;
function;4;;;
Gedächtnisprotokoll;4;;;
Geldbuße;4;;;
Gutachten;4;;;
Imperial Free City;4;;;
Information;4;;;
K.P.NAT;4;;;
Margraviate;4;;;
Mining Captaincy;4;;;
Nationalsozialismus;4;Periode/Phase;;
None;4;;;
Phonogrammarchiv;4;;;
Politische Verhältnisse;4;;;
Postanweisung;4;;;
Programmheft;4;;;
Quarter;4;;;
Rekurs;4;;;
Selbstbestimmungsrecht;4;;;
shape;4;;;
Staatsvertrag (St. Germain);4;;;
Strafregisterauszug;4;;;
Strafverfahrensakt;4;;;
T.F.VBR;4;zu speziell/nicht wiederverwendbar;;
T.F.VVL;4;zu speziell/nicht wiederverwendbar;;
Typoskript mit handschriftlicher Mitteilung;4;;;"Ähnlichkeit mit ""Typoskript mit handschriftlichen Überarbeitungen"""
Verfügungsbogen;4;;;
Vertragsbruch;4;;;
Vertragsverletzung;4;;;
Vikariat;4;;;
Abfertigung;3;;;
Abschrift (lit.);3;;;
Abweisung;3;;;
Autonomie;3;;;
Beamtenrat;3;;;
Beweisabschluss;3;;;
Bürgerkrieg;3;;;
C.P.VER;3;zu speziell/nicht wiederverwendbar;;
Christlich-sozial;3;;;
Constituent Entity;3;;;
Country;3;;;
D.J;3;zu speziell/nicht wiederverwendbar;;
D.J.BWA;3;zu speziell/nicht wiederverwendbar;;
D.J.ZST;3;zu speziell/nicht wiederverwendbar;;
D.L.ABS;3;zu speziell/nicht wiederverwendbar;;
D.L.PMP;3;zu speziell/nicht wiederverwendbar;;
Disziplinarausschuss;3;;;
Druck mit handschriftlichen Überarbeitungen;3;;;"Ähnlichkeit mit ""Druck mit handschriftlichen Annotationen"""
E.F.ABW;3;zu speziell/nicht wiederverwendbar;;
E.F.FOR;3;zu speziell/nicht wiederverwendbar;;
Erpressung;3;;;
Forderung bezahlt;3;;;
Geist (moderner);3;;;
Jude;3;;;
Juristisches Dokument;3;;;
K.P.CHR;3;zu speziell/nicht wiederverwendbar;;
