id;value;qualification;property;lang;notes_lang;variants;singular form
43;audio visual;;hasCategory;en;;;
58;Austrian magazines;;hasSubject;en;;;Austrian magazine
59;Austrian media landscape;;hasSubject;en;;;
60;Austrian newspapers;;hasSubject;en;;;Austrian newspaper
61;Austrian Press Agency;;hasSubject;en;;;
62;Austrian press releases;;hasSubject;en;;;Austrian press release
96;bibliography;;hasSubject;en;;;
100;borehole sampling;;hasAppliedMethod;en;;;
101;botany;;hasSubject;en;;;
105;Bronze Age sites;;hasSubject;en;;;Bronze Age site
121;capacity;;hasSubject;en;;;
122;cave;;hasSubject;en;;;
123;cemetery;;hasSubject;en;;;
124;Chalcolithic sites;;hasSubject;en;;;Chalcolithic site
127;city district;;hasSubject;en;;;
128;co-principality;;hasSubject;en;;coprincipality;
129;collection;;hasCategory;en;;;
130;commissariat;;hasSubject;en;;;
131;commissary district;;hasSubject;en;;;
132;Concert of Europe;;hasSubject;en;;;
133;condominium;;hasSubject;en;;;
134;confederation;;hasSubject;en;;;
135;congress files;;hasSubject;en;;;congress file
136;Congress of Aix-la-Chapelle;;hasSubject;en;;;
137;Congress of Laibach;;hasSubject;en;;;
138;Congress of Troppau;;hasSubject;en;;;
139;Congress of Verona;;hasSubject;en;;;
140;Congress of Vienna;;hasSubject;en;;;
141;congress system;;hasSubject;en;;;
142;constituent entity;;hasSubject;en;;;
143;controlled vocabulary;;hasCategory, hasSubject;en;;;
144;conversation;;hasSubject;en;;;
145;corpus;;hasCategory;en;;;
146;country;;hasSubject;en;;;
147;county;;hasSubject;en;;;
148;county;administrative unit;hasSubject;en;;;
149;Crown colony;;hasSubject;en;;;
150;Crown land;;hasSubject;en;;crown land, crownland;
151;CT scans;;hasAppliedMethod;en;;;CT scan
289;data;;hasSubject;en;;;
290;data curation;;hasAppliedMethod;en;;;
291;data integration;;hasSubject;en;;;
292;data management;;hasAppliedMethod;en;;;
293;data model;;hasSubject;en;;;
294;data sharing;;hasSubject;en;;;
295;dataset;;hasCategory;en;;;
304;digitisation;;hasSubject;en;;digitization;
306;district;;hasSubject;en;;;
307;district captaincy;;hasSubject;en;;;
316;duchy;;hasSubject;en;;;
349;educational;;hasSubject;en;;;
350;educational conversation;;hasSubject;en;;;
351;educational interview;;hasSubject;en;;;
352;educational seminar discussion;;hasSubject;en;;;
353;educational service encounter;;hasSubject;en;;;
354;educational working group discussion;;hasSubject;en;;;
355;educational workshop discussion;;hasSubject;en;;;
363;electorate;;hasSubject;en;;;
364;empire;;hasSubject;en;;;
365;English as a lingua franca;;hasSubject;en;;;
379;European Concert of Powers;;hasSubject;en;;European concert of powers;
386;fieldwork archive;;hasSubject;en;;;
396;free city;;hasSubject;en;;;
400;function;;hasSubject;en;;;
411;GeoJSON dataset;;hasCategory;en;;;
413;geological survey;;hasAppliedMethod;en;;;
415;geomorphological survey;;hasAppliedMethod;en;;;
426;governmental district;;hasSubject;en;;;
427;GPR;;hasSubject;en;abbreviation;ground-penetrating radar, ground penetrating radar;
430;grand duchy;;hasSubject;en;;;
431;grand principality;;hasSubject;en;;;
432;grave;;hasSubject;en;;;
433;Great Powers;;hasSubject;en;;great powers;Great Power
437;group designations;;hasSubject;en;;;group designation
442;high commissariat;;hasSubject;en;;;
443;High-Bailiwick;;hasSubject;en;;;
444;historic administrative units;;hasSubject;en;;;historic administrative unit
445;historical network research;;hasSubject;en;;;
446;historical travel guides;;hasSubject;en;;;historical travel guide
447;history of diplomacy;;hasSubject;en;;;
450;Holy Roman Empire;;hasSubject;en;;;
454;image;;hasCategory;en;;;
455;image creation;;hasAppliedMethod;en;;;
456;imperial circle;;hasSubject;en;;Imperial Circle;
457;imperial free city;;hasSubject;en;;Imperial Free City;
459;index file creation;;hasAppliedMethod;en;;;
462;inked drawings;;hasAppliedMethod;en;;;inked drawing
463;inscription;;hasSubject;en;;;
464;inscriptions;;hasSubject;en;;;inscription
465;interaction;;hasSubject;en;;;
466;interculturality;;hasSubject;en;;;
469;interview;;hasSubject;en;;;
471;journalistic prose;;hasSubject;en;;;
491;kingdom;;hasSubject;en;;;
521;landgraviate;;hasSubject;en;;;
522;language choice;;hasSubject;en;;;
523;language contact;;hasSubject;en;;;
524;language mapping;;hasSubject;en;;;
525;language variation;;hasSubject;en;;;
526;laser scanning;;hasAppliedMethod;en;;;
531;leisure;;hasSubject;en;;;
532;leisure conversation;;hasSubject;en;;;
533;leisure interview;;hasSubject;en;;;
534;lemmatisation;;hasSubject;en;;lemmatization;
535;lemmatization;;hasAppliedMethod;en;;;
539;lexical resource;;hasCategory;en;;;
540;lexical resources;;hasSubject;en;;;lexical resource
542;linguistic landscape;;hasSubject;en;;;
543;linked open data;;hasSubject;en;;;
551;lithics;;hasSubject;en;;;
562;manual;;hasSubject;en;;;
567;margraviate;;hasSubject;en;;margravate;
569;mark-up;;hasSubject;en;;markup;
570;mark-up conventions;;hasSubject;en;;markup conventions;mark-up convention
573;material culture;;hasSubject;en;;;
576;medieval Austria;;hasSubject;en;;mediaeval Austria;
577;medieval Germany;;hasSubject;en;;mediaeval Germany;
578;medieval prosopography;;hasSubject;en;;mediaeval prosopography;
579;meeting;;hasSubject;en;;;
581;Middle Ages;;hasSubject;en;;;
583;military district;;hasSubject;en;;;
584;military frontier;;hasSubject;en;;;
585;military government;;hasSubject;en;;;
586;mining captaincy;;hasSubject;en;;;
591;model;;hasCategory;en;;;
595;monument;;hasSubject;en;;;
597;multilingualism;;hasSubject;en;;;
606;Neolithic Anatolia;;hasSubject;en;;;
607;Neolithic Greece;;hasSubject;en;;;
608;Neolithic pottery;;hasSubject;en;;;
609;Neolithic sites;;hasSubject;en;;;Neolithic site
611;none;;hasSubject;en;;;
614;occupied territory;;hasSubject;en;;;
615;OCR;;hasAppliedMethod;en;abbreviation;optical character recognition;
616;online site database;;hasSubject;en;;;
618;ontology;;hasSubject;en;;;
619;open data;;hasSubject;en;;;
